,paper_name,available_link,year,pdf_availability
11,"Preetha Chatterjee, Kostadin Damevski, Lori Pollock, Vinay Augustine, and Nicholas A. Kraft. Exploratory Study of Slack Q&A Chats as a Mining Source for Software Engineering Tools, The 16th International Conference on Mining Software Repositories (MSR). PDF ",https://cpb-us-w2.wpmucdn.com/sites.udel.edu/dist/8/2570/files/2019/03/PID5819473-1jstqpt.pdf,2019,Yes
12,"László Tóth, Balázs Nagy, Dávid Janthó, László Vidács, Tibor Gyimóthy. Towards an Accurate Prediction of the Question Quality at Stack Overflow Using a Deep-Learning-Based NLP Approach. 14th International Conference on Software Technologies (ICSOFT)  ",http://dx.doi.org/10.5220/0007971306310639,2019,No
13,"Suyu Ma, Zhenchang Xing, Chunyang Chen, Cheng Chen, Lizhen Qu, Guoqiang Li. Easy-to-Deploy API Extraction by Multi-Level Feature Embedding and Transfer Learning. IEEE Transactions on Software Engineering (TSE)  ",https://chunyang-chen.github.io/publication/API_NER_TSE2019.pdf,2019,Yes
14,"Xiang Chen, Chunyang Chen, Dun Zhang, Zhenchang Xing. SEthesaurus: WordNet in Software Engineering. IEEE Transactions on Software Engineering (TSE)  ",https://chunyang-chen.github.io/publication/SEthesaurusWordnet_TSE19.pdf,2019,Yes
15,"Xiang Chen, Chunyang Chen, Dun Zhang, Zhenchang Xing. SEthesaurus: WordNet in Software Engineering. IEEE Transactions on Software Engineering (TSE)  ",https://pypi.org/project/DomainThesaurus/,2019,No
16,"Md Ahasanuzzaman, Muhammad Asaduzzaman, Chanchal K. Roy, Kevin A. Schneider. CAPS: a supervised technique for classifying Stack Overflow posts concerning API issues. Empirical Software Engineering (ESE), 2019. ",https://link.springer.com/article/10.1007/s10664-019-09743-4,2019,No
17,"S. Mondal, M. M. Rahman, C. K. Roy Can Issues Reported at Stack Overflow Questions be Reproduced? An Exploratory Study Proceedings of the 16th International Conference on Mining Software Repositories (MSR 2019). ",http://homepage.usask.ca/%7Emasud.rahman/papers/saikat-MSR2019-pp.pdf,2019,Yes
18,"L. Souza, E. Campos, F. Madeiral, K. Paixão, A. Rocha, M. A. Maia Bootstrapping Cookbooks for APIs from Crowd Knowledge on Stack Overflow Information and Software Technology, v. 111, 2019. 14 ",https://arxiv.org/pdf/1903.09174,2019,No
19,"R. Silva, C. K. Roy, M. Rahman, K. Schneider, K. Paixão, M. A. Maia Recommending Comprehensive Solutions for Programming Tasks by Mining Crowd Knowledge. Proc. of the International Conference on Program Comprehension (ICPC), 2019. 15 ",http://lascam.facom.ufu.br/cms/userfiles/downloads/2019/ICPC2019.pdf,2019,Yes
20,"Haoxiang Zhang, Shaowei Wang, Tse-Hsun (Peter) Chen, Ying Zou, Ahmed E. Hassan, An Empirical Study of Obsolete Answers on Stack Overflow. IEEE Transactions on Software Engineering (TSE), 2019. ",https://sail.cs.queensu.ca/Downloads/TSE2019_AnEmpiricalStudyOfObsoleteAnswersOnStackOverflow.pdf,2019,Yes
21,"Anna May, Johannes Wachs, Aniko Hannak. Gender differences in participation and reward on Stack Overflow. Empirical Software Engineering, 2019. ",https://link.springer.com/content/pdf/10.1007%2Fs10664-019-09685-x.pdf,2019,Yes
22,"Agnieszka Geras, Grzegorz Siudem, Marek Gagolewski. Should we introduce a dislike button for academic articles?, Journal of the Association for Information Science and Technology (JASIST) 71. 2 (2020), pp. 221–229. ",https://doi.org/10.1002/asi.24231,2019,No
23,"Emillie Thiselton, Christoph Treude. Enhancing Python Compiler Error Messages via Stack Overflow. arXiv preprint arXiv:1906. 11456v1, 2019. ",https://cs.adelaide.edu.au/%7Echristoph/esem19.pdf,2019,Yes
24,"Sebastian Baltes, Christoph Treude, and Stephan Diehl. SOTorrent:  Studying the Origin, Evolution, and Usage of Stack Overflow Code Snippets. Proceedings of the 16th International Conference on Mining Software Repositories (MSR 2019). ",https://empirical-software.engineering/assets/pdf/msr19-sotorrent.pdf,2019,Yes
25,"Sebastian Baltes, Christoph Treude, and Stephan Diehl. SOTorrent:  Studying the Origin, Evolution, and Usage of Stack Overflow Code Snippets. Proceedings of the 16th International Conference on Mining Software Repositories (MSR 2019). ",http://sotorrent.org,2019,No
26,"Sk Adnan Hassan, Dipto Das, Anindya Iqbal, Amiangshu Bosu, Rifat Shahriyar and Toufique Ahmed. SOQDE: A Supervised Learning based Question Difficulty Estimation Model for Stack Overflow. 25th Asia-Pacific Software Engineering Conference (APSEC), 445-454, 2018. ",https://ieeexplore.ieee.org/document/8719532,2018,No
27,"M. Ahasanuzzaman, M. Asaduzzaman, C. K. Roy, and K. A. Schneider. Classifying Stack Overflow Posts On API Issues. IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER), 2018. PDF ",https://ieeexplore.ieee.org/abstract/document/8330213,2018,No
28,"Rodrigo F. G. Silva, Klerisson Paixao, Marcelo de A. Maia. Duplicate Question Detection in Stack Overflow: A Reproducibility Study. IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER), 2018. DOI PDF Preprint ",https://doi.org/10.1109/SANER.2018.8330262,2018,No
29,"Rodrigo F. G. Silva, Klerisson Paixao, Marcelo de A. Maia. Duplicate Question Detection in Stack Overflow: A Reproducibility Study. IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER), 2018. DOI PDF Preprint ",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8330262,2018,No
30,"Rodrigo F. G. Silva, Klerisson Paixao, Marcelo de A. Maia. Duplicate Question Detection in Stack Overflow: A Reproducibility Study. IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER), 2018. DOI PDF Preprint ",https://peerj.com/preprints/26555/,2018,No
31,"Chunyang Chen, Zhenchang Xing, Yang Liu. What's Spain's Paris? Mining Analogical Libraries from Q&A Discussions. Springer Empirical Software Engineering  ",https://chunyang-chen.github.io/publication/analogyJournal_EMSE.pdf,2018,Yes
32,"Chunyang Chen, Xi Chen, Jiamou Sun, Zhenchang Xing and Guoqiang Li. Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites. Proc. ACM Hum. -Comput. Interact. 2, CSCW, Article 33  ",https://chunyang-chen.github.io/publication/proactiveEdit_cscw18.pdf,2018,Yes
33,"Zakaria Mehrab, Raquib Bin Yousuf, Ibrahim Asadullah Tahmid, Rifat Shahriyar. Mining Developer Questions about Major Web Frameworks. Proceedings of the 14th International Conference on Web Information Systems and Technologies - Volume 1: WEBIST, 191-198, 2018. ",http://dblp.uni-trier.de/rec/html/conf/webist/MehrabYTS18,2018,No
34,"Zakaria Mehrab, Raquib Bin Yousuf, Ibrahim Asadullah Tahmid, Rifat Shahriyar. Mining Developer Questions about Major Web Frameworks. Proceedings of the 14th International Conference on Web Information Systems and Technologies - Volume 1: WEBIST, 191-198, 2018. ",http://www.insticc.org/Primoris/Resources/PaperPdf.ashx?idPaper=69295,2018,No
35,"Zakaria Mehrab, Raquib Bin Yousuf, Ibrahim Asadullah Tahmid, Rifat Shahriyar. Mining Developer Questions about Major Web Frameworks. Proceedings of the 14th International Conference on Web Information Systems and Technologies - Volume 1: WEBIST, 191-198, 2018. ",http://www.scitepress.org/DigitalLibrary/Link.aspx?doi=10.5220%2F0006929501910198,2018,No
36,"Shaowei Wang, Tse-Hsun Chen, Ahmed, E. Hassan, How Do Users Revise Answers on Technical Q&A Websites? A Case Study on Stack Overflow. IEEE Transactions on Software Engineering (TSE), 2018. ",https://sail.cs.queensu.ca/Downloads/TSE2018_HowDoUsersReviseAnswersOnTechnicalQ&AWebsitesACaseStudyOnStackOverflow.pdf,2018,Yes
37,"Sebastian Baltes and Stephan Diehl. Usage and Attribution of Stack Overflow Code Snippets in GitHub Projects. Empirical Software Engineering, 2018. ",https://doi.org/10.1007/s10664-018-9650-5,2018,No
38,"Sebastian Baltes and Stephan Diehl. Usage and Attribution of Stack Overflow Code Snippets in GitHub Projects. Empirical Software Engineering, 2018. ",http://empirical-software.engineering/assets/pdf/emse18-snippets.pdf,2018,Yes
39,"Yi Huang, Chunyang Chen, Zhenchang Xing, Tian Lin and Yang Liu. Tell Them Apart: Distilling Technology Differences from Crowd-Scale Comparison Discussions. The 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE)  ",https://chunyang-chen.github.io/publication/diffSimilarTech.pdf,2018,Yes
40,"Yi Huang, Chunyang Chen, Zhenchang Xing, Tian Lin and Yang Liu. Tell Them Apart: Distilling Technology Differences from Crowd-Scale Comparison Discussions. The 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE)  ",https://difftech.herokuapp.com/,2018,No
41,"Yuhao Wu, Shaowei Wang,Cor-Paul Bezemer, Katsuro Inoue. How Do Developers Utilize Source Code from Stack Overflow? Empirical Software Engineering, 2018. ",http://sail.cs.queensu.ca/Downloads/EMSE2018_HowDoDevelopersUtilizeSourceCodeFromStackOverflow.pdf,2018,Yes
42,"Fabio Calefato, Filippo Lanubile, Nicole Novielli. How to Ask for Technical Help? Evidence-based Guidelines for Writing Questions on Stack Overflow. Information and Software Technology, Volume 94, February 2018, Pages 186-207  ",https://arxiv.org/pdf/1710.04692.pdf,2018,Yes
43,"Denae Ford, Kristina Lustig, Jeremy Banks, Chris Parnin. “We Don’t Do That Here”: How Collaborative Editing with Mentors Improves Engagement in Social Q&A Communities. Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems (CHI '18), Paper No. 608, April 2018. ",http://chrisparnin.me/pdf/chi18.pdf,2018,Yes
44,"Jing Li, Aixin Sun, and Zhenchang Xing. Learning to Answer Programming Questions with Software Documentation through Social Context Embedding. Information Sciences (INS). Volumes 448–449, Pages 36-52, June 2018, Elsevier. ",https://authors.elsevier.com/a/1Wj-54ZQDs6Wb,2018,No
45,"Jing Li, Zhenchang Xing and Ashad Kabir. Leveraging Official Content and Social Context to Recommend Software Documentation. IEEE Transactions on Services Computing (TSC). IEEE, 2018. ",http://ieeexplore.ieee.org/document/8307192/,2018,No
46,"Sebastian Baltes, Lorik Dumani, Christoph Treude, and Stephan Diehl. SOTorrent: Reconstructing and Analyzing the Evolution of Stack Overflow Posts. Proceedings of the 15th International Conference on Mining Software Repositories (MSR 2018). ",http://empirical-software.engineering/assets/pdf/msr18-sotorrent.pdf,2018,Yes
47,"Sebastian Baltes, Lorik Dumani, Christoph Treude, and Stephan Diehl. SOTorrent: Reconstructing and Analyzing the Evolution of Stack Overflow Posts. Proceedings of the 15th International Conference on Mining Software Repositories (MSR 2018). ",https://empirical-software.engineering/assets/pdf/msr19-sotorrent.pdf,2018,Yes
48,"Jin Liu, Pingyi Zhou, Zijiang Yang, Xiao Liu and John Grundy. FastTagRec: fast tag recommendation for software information sites. Automated Software Engineering 2018, pages 1-27. ",https://link.springer.com/article/10.1007/s10515-018-0239-4,2018,No
49,"Taniya Saini, Sachin Tripathi. Predicting tags for stack overflow questions using different classifiers. 4th International Conference on Recent Advances in Information Technology (RAIT 2018). ",https://ieeexplore.ieee.org/document/8389059,2018,No
50,"Shaowei Wang, Tse-Hsun Chen, Ahmed E. Hassan. Understanding the Factors for Fast Answers in Technical Q&A Websites: An Empirical Study on Four Stack Exchange  Websites. Empirical Software Engineering (2017). ",http://sail.cs.queensu.ca/Downloads/EMSE2017_UnderstandingTheFactorsForFastAnswersInQ&AWebsites.pdf,2017,Yes
51,"Shaowei Wang, David Lo, Bogdan Vasilescu, Alexander Serebrenik. EnTagRec++: An Enhanced Tag Recommendation System for Software Information Sites. Empirical Software Engineering (2017). ",http://www.win.tue.nl/~aserebre/EMSE-EnTagRecPlusPlus.pdf,2017,Yes
52,"Chunyang Chen, Zhenchang Xing, and Yang Liu. By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites. Proc. ACM Hum. -Comput. Interact. 1, CSCW, Article 32 (December 2017)  ",https://chunyang-chen.github.io/publication/correctSentence.pdf,2017,Yes
53,"Fabio Calefato, Filippo Lanubile, Federico Maiorano, Nicole Novielli. Sentiment Polarity Detection for Software Development. Empirical Software Engineering, https://doi. org/10. 1007/s10664-017-9546-9. PDF",https://doi.org/10.1007/s10664-017-9546-9,2017,No
54,"Fabio Calefato, Filippo Lanubile, Federico Maiorano, Nicole Novielli. Sentiment Polarity Detection for Software Development. Empirical Software Engineering, https://doi. org/10. 1007/s10664-017-9546-9. PDF",https://arxiv.org/abs/1709.02984,2017,No
55,"Reza Gharibi, Mohammad Malekzadeh. Gamified Incentives: A Badge Recommendation Model to Improve User Engagement in Social Networking Websites International Journal of Advanced Computer Science and Applications(IJACSA), 8(5), 2017 ",http://thesai.org/Downloads/Volume8No5/Paper_33-Gamified_Incentives_A_Badge_Recommendation.pdf,2017,Yes
56,"Reza Gharibi, Mohammad Malekzadeh. Gamified Incentives: A Badge Recommendation Model to Improve User Engagement in Social Networking Websites International Journal of Advanced Computer Science and Applications(IJACSA), 8(5), 2017 ",https://github.com/h4iku/stack-badges,2017,No
57,"Chunyang Chen, Zhenchang Xing, Ximing Wang. Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions The 39th International Conference on Software Engineering (ICSE), pp. 450-461 ",https://chunyang-chen.github.io/publication/seThesaurus.pdf,2017,Yes
58,"Chunyang Chen, Zhenchang Xing, Ximing Wang. Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions The 39th International Conference on Software Engineering (ICSE), pp. 450-461 ",http://se-thesaurus.appspot.com,2017,No
59,"Azad, Shams, Peter C. Rigby, and Latifa Guerrouj. Generating API Call Rules from Version History and Stack Overflow Posts. ACM Transactions on Software Engineering and Methodology (TOSEM) 25. 4 (2017): 29. ",https://users.encs.concordia.ca/~pcr/paper/Azad2017TOSEM.pdf,2017,Yes
60,"Abdalkareem, Rabe, Emad Shihab, and Juergen Rilling. On Code Reuse from StackOverflow: An Exploratory Study on Android Apps. Information and Software Technology (2017). ",http://www.sciencedirect.com/science/article/pii/S0950584917303610,2017,No
61,"Abdalkareem, Rabe, Emad Shihab, and Juergen Rilling. What Do Developers Use the Crowd For? A Study Using Stack Overflow. IEEE Software 34. 2 (2017): 53-60. ",http://das.encs.concordia.ca/uploads/2016/12/Abdalkareem_SW2017.pdf,2017,Yes
62,"Campbell, Brock Angus, and Christoph Treude. NLP2Code: Code Snippet Content Assist via Natural Language Tasks. arXiv preprint arXiv:1701. 05648 (2017). ",https://arxiv.org/pdf/1701.05648,2017,No
63,"Convertino, Gregorio, et al. Toward a mixed-initiative QA system: from studying predictors in Stack Exchange to building a mixed-initiative tool. International Journal of Human-Computer Studies 99 (2017): 1-20. ",http://www.sciencedirect.com/science/article/pii/S1071581916301501,2017,No
64,"Vinayakarao, Venkatesh, et al. Anne: Improving source code search using entity retrieval approach. Proceedings of the Tenth ACM International Conference on Web Search and Data Mining. ACM, 2017. ",http://dl.acm.org/citation.cfm?id=3018691,2017,No
65,"Alexey Zagalsky, Daniel M. German, Margaret-Anne Storey, Carlos Gómez Teshima, and Germán Poo-Caamaño. 2017. How the R Community Creates and Curates Knowledge: An Extended Study of Stack Overflow and Mailing Lists. Journal of Empirical Software Engineering (EMSE), August 2017, Springer US. ",http://dx.doi.org/10.1007/s10664-017-9536-y,2017,No
66,"Alexey Zagalsky, Daniel M. German, Margaret-Anne Storey, Carlos Gómez Teshima, and Germán Poo-Caamaño. 2017. How the R Community Creates and Curates Knowledge: An Extended Study of Stack Overflow and Mailing Lists. Journal of Empirical Software Engineering (EMSE), August 2017, Springer US. ",http://alexeyza.com/pdf/emse-msr2017.pdf,2017,Yes
67,"Alexey Zagalsky, Daniel M. German, Margaret-Anne Storey, Carlos Gómez Teshima, and Germán Poo-Caamaño. 2017. How the R Community Creates and Curates Knowledge: An Extended Study of Stack Overflow and Mailing Lists. Journal of Empirical Software Engineering (EMSE), August 2017, Springer US. ",https://zenodo.org/record/831805,2017,No
68,"Yuji Mizobuchi, Kuniharu Takayama. Two improvements to detect duplicates in Stack Overflow. 24th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER 2017). ",https://ieeexplore.ieee.org/document/7884678,2017,No
69,"Pingyi Zhou, Jin Liu, Zijiang Yang, Guangyou Zhou. Scalable tag recommendation for software information sites. 24th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER 2017). ",https://ieeexplore.ieee.org/document/7884628,2017,No
70,"M. Ahasanuzzaman, M. Asaduzzaman, Chanchal K. Roy, Kevin A. Schneider: Mining duplicate questions in stack overflow ?. 13th International Conference on Mining Software Repositories (MSR 2016). ",https://dl.acm.org/citation.cfm?id=2901770,2016,No
71,"Chunyang Chen, Zhenchang Xing SimilarTech: Automatically Recommend Analogical Libraries across Different Programming Languages. The 31st IEEE/ACM International Conference on Automated Software Engineering (ASE) ",https://chunyang-chen.github.io/publication/analogyTool.pdf,2016,Yes
72,"Guibin Chen, Chunyang Chen, Zhenchang Xing, and Bowen Xu. Learning a Dual-Language Vector Space for Domain-Specific Cross-Lingual Question Retrieval. The 31st IEEE/ACM International Conference on Automated Software Engineering (ASE) ",https://chunyang-chen.github.io/publication/ASE2016_gbchen.pdf,2016,Yes
73,"Jing Li, Zhenchang Xing, Deheng Ye and Xuejiao Zhao. From Discussion to Wisdom: Web Resource Recommendation  for Hyperlinks in Stack Overflow. Proceedings of the 31st ACM Symposium on Applied Computing (SAC 2016). ",http://www.li-jing.com/papers/WisLinker.pdf,2016,Yes
74,"Srba, Ivan. Promoting Sustainability and Transferability of Community Question Answering. Information Sciences and Technologies 8. 2 (2016): 10. ",http://acmbulletin.fiit.stuba.sk/abstracts/srba2016.pdf,2016,Yes
75,"Boudaer, Glenn, and Johan Loeckx. Enriching Topic Modelling with Users' Histories for Improving Tag Prediction in Q&A Systems. Proceedings of the 25th International Conference Companion on World Wide Web. International World Wide Web Conferences Steering Committee, 2016. ",http://www2016.net/proceedings/companion/p669.pdf,2016,Yes
76,"Eduardo Campos, Martin Monperrus, Marcelo Maia. Searching Stack Overflow for API-usage-related Bug Fixes Using Snippet-based Queries. Proc. of 26th  International Conference on Computer Science and Software Engineering (CASCON), Toronto, Canada, p. 1-11, 2016. ",http://lascam.facom.ufu.br/cms/userfiles/downloads/2016/cascon-preprint.pdf,2016,Yes
77,"Utkarsh Upadhyay, Isabel Valera, Manuel Gomez-Rodriguez. Uncovering the Dynamics of Crowdlearning and the Value of Knowledge. 10th ACM International Conference on Web Search and Data Mining Conference (WSDM 2016). (Submitted on 14 Dec 2016. ) ",https://arxiv.org/abs/1612.04831,2016,No
78,"Fernanda Delfim, Klérisson Paixão, Damien Cassou, Marcelo Maia. Redocumenting APIs with crowd knowledge: a coverage analysis based on question types. Journal of the Brazilian Computer Society (JBCS). (Volume: 29, Issue: 1, Dec. 2016) Open Access. . ",http://dx.doi.org/10.1186/s13173-016-0049-0,2016,No
79,"Eduardo Campos, Lucas Souza, Marcelo Maia. Searching Crowd Knowledge to Recommend Solutions for API Usage Tasks. Journal of Software: Evolution and Process (JSEP). (Volume: 28, Issue: 10, Pages: 863--892). Wiley, 2016 . ",http://lascam.facom.ufu.br/cms/userfiles/downloads/2016/jsep2016AcceptedVersion.pdf,2016,Yes
80,"Eduardo Campos, Lucas Souza, Marcelo Maia. Searching Crowd Knowledge to Recommend Solutions for API Usage Tasks. Journal of Software: Evolution and Process (JSEP). (Volume: 28, Issue: 10, Pages: 863--892). Wiley, 2016 . ",http://dx.doi.org/10.1002/smr.1800,2016,No
81,"Ivan Srba and Maria Bielikova. Why is Stack Overflow Failing? Preserving Sustainability in Community Question Answering. IEEE Software (Volume: 33, Issue: 4, July-Aug. 2016). ",http://dx.doi.org/10.1109/MS.2016.34,2016,No
82,"Chunyang Chen, Zhenchang Xing, Lei Han. TechLand: Assisting Technology Landscape Inquiries with Insights from Stack Overflow. The 32nd IEEE International Conference on Software Maintenance and Evolution (ICSME 2016). ",https://chunyang-chen.github.io/publication/techLand.pdf,2016,Yes
83,"Chunyang Chen, Zhenchang Xing, Lei Han. TechLand: Assisting Technology Landscape Inquiries with Insights from Stack Overflow. The 32nd IEEE International Conference on Software Maintenance and Evolution (ICSME 2016). ",https://github.com/tomhanlei/kg_plugin,2016,No
84,"Chunyang Chen, Sa Gao, Zhenchang Xing. Mining Analogical Libraries in Q&A Discussions — Incorporating Relational and Categorical Knowledge into Word Embedding. The 23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER 2016). ",https://chunyang-chen.github.io/publication/analogical_libraries.pdf,2016,Yes
85,"Chunyang Chen, Sa Gao, Zhenchang Xing. Mining Analogical Libraries in Q&A Discussions — Incorporating Relational and Categorical Knowledge into Word Embedding. The 23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER 2016). ",https://graphofknowledge.appspot.com/similartech,2016,No
86,"Chunyang Chen, Zhenchang Xing. Towards Correlating Search on Google and Asking on Stack Overflow. The 40th IEEE Computer Society International Conference on Computers, Software & Applications (COMPSAC 2016). ",https://chunyang-chen.github.io/publication/ask_search_correlation.pdf,2016,Yes
87,"Chunyang Chen, Zhenchang Xing. Towards Correlating Search on Google and Asking on Stack Overflow. The 40th IEEE Computer Society International Conference on Computers, Software & Applications (COMPSAC 2016). ",http://comparetrend.appspot.com/,2016,No
88,"Chunyang Chen, Zhenchang Xing. Mining Technology Landscape from Stack Overflow. The 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM 2016). ",https://chunyang-chen.github.io/publication/technology_landscape.pdf,2016,Yes
89,"Chunyang Chen, Zhenchang Xing. Mining Technology Landscape from Stack Overflow. The 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM 2016). ",https://graphofknowledge.appspot.com,2016,No
90,"Deheng Ye, Zhenchang Xing, Chee Yong Foo, Jing Li, and Nachiket Kapre. Learning to Extract API Mentions from Informal Natural Language Discussions. The 32nd International Conference on Software Maintenance and Evolution (ICSME 2016). ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/icsme2016.pdf,2016,Yes
91,"Deheng Ye, Zhenchang Xing, and Nachiket Kapre. The Structure and Dynamics of Knowledge Network in Domain-specific Q&A Sites: A Case Study of Stack Overflow. Journal of Empirical Software Engineering (EMSE). 2016. (IF: 2. 161) ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/template.pdf,2016,Yes
92,"Deheng Ye, Zhenchang Xing, Chee Yong Foo, Zi Qun Ang, Jing Li, and Nachiket Kapre. Software-specific Named Entity Recognition in Software Engineering Social Content. The 23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER 2016). ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/saner2016.pdf,2016,Yes
93,"Deheng Ye, Zhenchang Xing, Jing Li, and Nachiket Kapre. Software-specific Part-of-speech Tagging: An Experimental Study on Stack Overflow. The 31st ACM/SIGAPP Symposium on Applied Computing (SAC 2016). ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/sac2016.pdf,2016,Yes
94,"Luca Ponzanelli, Gabriele Bavota, Andrea Mocci, Massimiliano Di Penta, Rocco Oliveto, Mir Hasan, Barbara Russo, Sonia Haiduc, Michele Lanza. Too Long; Didn’t Watch! Extracting Relevant Fragments from Software Development Video Tutorials, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",http://www.inf.usi.ch/phd/ponzanelli/profile/publications/2016a/Ponz2016a.pdf,2016,Yes
95,"Luca Ponzanelli, Gabriele Bavota, Andrea Mocci, Massimiliano Di Penta, Rocco Oliveto, Mir Hasan, Barbara Russo, Sonia Haiduc, Michele Lanza. Too Long; Didn’t Watch! Extracting Relevant Fragments from Software Development Video Tutorials, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",http://www.slideshare.net/lucaponzanelli/too-long-didnt-watch-extracting-relevant-fragments-from-software-development-video-tutorials,2016,No
96,"Luca Ponzanelli, Gabriele Bavota, Andrea Mocci, Massimiliano Di Penta, Rocco Oliveto, Barbara Russo, Sonia Haiduc, Michele Lanza. CodeTube: Extracting Relevant Fragments from Software Development Video Tutorials, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",http://www.inf.usi.ch/phd/ponzanelli/profile/publications/2016b/Ponz2016b.pdf,2016,Yes
97,"Alessandro Murgia, Daan Janssens, Serge Demeyer, Bogdan Vasilescu. Among the Machines: Human-Bot Interaction on Social Q&A Websites, In Proceedings of the ACM SIGCHI Conference on Human Factors in Computing Systems (CHI 2016). ",http://bvasiles.github.io/papers/chi16bot.pdf,2016,Yes
98,"Christoph Treude, Martin P. Robillard. Augmenting API Documentation with Insights from Stack Overflow, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",https://ctreude.files.wordpress.com/2016/01/icse16a.pdf,2016,Yes
