,paper_name,available_link,year,pdf_availability,Unnamed: 0
19,"R. Silva, C. K. Roy, M. Rahman, K. Schneider, K. Paixão, M. A. Maia Recommending Comprehensive Solutions for Programming Tasks by Mining Crowd Knowledge. Proc. of the International Conference on Program Comprehension (ICPC), 2019. 15 ",http://lascam.facom.ufu.br/cms/userfiles/downloads/2019/ICPC2019.pdf,2019,Yes,19.0
20,"Haoxiang Zhang, Shaowei Wang, Tse-Hsun (Peter) Chen, Ying Zou, Ahmed E. Hassan, An Empirical Study of Obsolete Answers on Stack Overflow. IEEE Transactions on Software Engineering (TSE), 2019. ",https://sail.cs.queensu.ca/Downloads/TSE2019_AnEmpiricalStudyOfObsoleteAnswersOnStackOverflow.pdf,2019,Yes,20.0
21,"Anna May, Johannes Wachs, Aniko Hannak. Gender differences in participation and reward on Stack Overflow. Empirical Software Engineering, 2019. ",https://link.springer.com/content/pdf/10.1007%2Fs10664-019-09685-x.pdf,2019,Yes,21.0
22,"Agnieszka Geras, Grzegorz Siudem, Marek Gagolewski. Should we introduce a dislike button for academic articles?, Journal of the Association for Information Science and Technology (JASIST) 71. 2 (2020), pp. 221–229. ",https://doi.org/10.1002/asi.24231,2019,No,22.0
23,"Emillie Thiselton, Christoph Treude. Enhancing Python Compiler Error Messages via Stack Overflow. arXiv preprint arXiv:1906. 11456v1, 2019. ",https://cs.adelaide.edu.au/%7Echristoph/esem19.pdf,2019,Yes,23.0
24,"Sebastian Baltes, Christoph Treude, and Stephan Diehl. SOTorrent:  Studying the Origin, Evolution, and Usage of Stack Overflow Code Snippets. Proceedings of the 16th International Conference on Mining Software Repositories (MSR 2019). ",https://empirical-software.engineering/assets/pdf/msr19-sotorrent.pdf,2019,Yes,24.0
26,"Sk Adnan Hassan, Dipto Das, Anindya Iqbal, Amiangshu Bosu, Rifat Shahriyar and Toufique Ahmed. SOQDE: A Supervised Learning based Question Difficulty Estimation Model for Stack Overflow. 25th Asia-Pacific Software Engineering Conference (APSEC), 445-454, 2018. ",https://ieeexplore.ieee.org/document/8719532,2018,No,26.0
27,"M. Ahasanuzzaman, M. Asaduzzaman, C. K. Roy, and K. A. Schneider. Classifying Stack Overflow Posts On API Issues. IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER), 2018. PDF ",https://ieeexplore.ieee.org/abstract/document/8330213,2018,No,27.0
30,"Rodrigo F. G. Silva, Klerisson Paixao, Marcelo de A. Maia. Duplicate Question Detection in Stack Overflow: A Reproducibility Study. IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER), 2018. DOI PDF Preprint ",https://peerj.com/preprints/26555/,2018,No,30.0
31,"Chunyang Chen, Zhenchang Xing, Yang Liu. What's Spain's Paris? Mining Analogical Libraries from Q&A Discussions. Springer Empirical Software Engineering  ",https://chunyang-chen.github.io/publication/analogyJournal_EMSE.pdf,2018,Yes,31.0
32,"Chunyang Chen, Xi Chen, Jiamou Sun, Zhenchang Xing and Guoqiang Li. Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites. Proc. ACM Hum. -Comput. Interact. 2, CSCW, Article 33  ",https://chunyang-chen.github.io/publication/proactiveEdit_cscw18.pdf,2018,Yes,32.0
35,"Zakaria Mehrab, Raquib Bin Yousuf, Ibrahim Asadullah Tahmid, Rifat Shahriyar. Mining Developer Questions about Major Web Frameworks. Proceedings of the 14th International Conference on Web Information Systems and Technologies - Volume 1: WEBIST, 191-198, 2018. ",http://www.scitepress.org/DigitalLibrary/Link.aspx?doi=10.5220%2F0006929501910198,2018,No,35.0
36,"Shaowei Wang, Tse-Hsun Chen, Ahmed, E. Hassan, How Do Users Revise Answers on Technical Q&A Websites? A Case Study on Stack Overflow. IEEE Transactions on Software Engineering (TSE), 2018. ",https://sail.cs.queensu.ca/Downloads/TSE2018_HowDoUsersReviseAnswersOnTechnicalQ&AWebsitesACaseStudyOnStackOverflow.pdf,2018,Yes,36.0
38,"Sebastian Baltes and Stephan Diehl. Usage and Attribution of Stack Overflow Code Snippets in GitHub Projects. Empirical Software Engineering, 2018. ",http://empirical-software.engineering/assets/pdf/emse18-snippets.pdf,2018,Yes,38.0
39,"Yi Huang, Chunyang Chen, Zhenchang Xing, Tian Lin and Yang Liu. Tell Them Apart: Distilling Technology Differences from Crowd-Scale Comparison Discussions. The 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE)  ",https://chunyang-chen.github.io/publication/diffSimilarTech.pdf,2018,Yes,39.0
41,"Yuhao Wu, Shaowei Wang,Cor-Paul Bezemer, Katsuro Inoue. How Do Developers Utilize Source Code from Stack Overflow? Empirical Software Engineering, 2018. ",http://sail.cs.queensu.ca/Downloads/EMSE2018_HowDoDevelopersUtilizeSourceCodeFromStackOverflow.pdf,2018,Yes,41.0
42,"Fabio Calefato, Filippo Lanubile, Nicole Novielli. How to Ask for Technical Help? Evidence-based Guidelines for Writing Questions on Stack Overflow. Information and Software Technology, Volume 94, February 2018, Pages 186-207  ",https://arxiv.org/pdf/1710.04692.pdf,2018,Yes,42.0
43,"Denae Ford, Kristina Lustig, Jeremy Banks, Chris Parnin. “We Don’t Do That Here”: How Collaborative Editing with Mentors Improves Engagement in Social Q&A Communities. Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems (CHI '18), Paper No. 608, April 2018. ",http://chrisparnin.me/pdf/chi18.pdf,2018,Yes,43.0
44,"Jing Li, Aixin Sun, and Zhenchang Xing. Learning to Answer Programming Questions with Software Documentation through Social Context Embedding. Information Sciences (INS). Volumes 448–449, Pages 36-52, June 2018, Elsevier. ",https://authors.elsevier.com/a/1Wj-54ZQDs6Wb,2018,No,44.0
45,"Jing Li, Zhenchang Xing and Ashad Kabir. Leveraging Official Content and Social Context to Recommend Software Documentation. IEEE Transactions on Services Computing (TSC). IEEE, 2018. ",http://ieeexplore.ieee.org/document/8307192/,2018,No,45.0
46,"Sebastian Baltes, Lorik Dumani, Christoph Treude, and Stephan Diehl. SOTorrent: Reconstructing and Analyzing the Evolution of Stack Overflow Posts. Proceedings of the 15th International Conference on Mining Software Repositories (MSR 2018). ",http://empirical-software.engineering/assets/pdf/msr18-sotorrent.pdf,2018,Yes,46.0
48,"Jin Liu, Pingyi Zhou, Zijiang Yang, Xiao Liu and John Grundy. FastTagRec: fast tag recommendation for software information sites. Automated Software Engineering 2018, pages 1-27. ",https://link.springer.com/article/10.1007/s10515-018-0239-4,2018,No,48.0
49,"Taniya Saini, Sachin Tripathi. Predicting tags for stack overflow questions using different classifiers. 4th International Conference on Recent Advances in Information Technology (RAIT 2018). ",https://ieeexplore.ieee.org/document/8389059,2018,No,49.0
50,"Shaowei Wang, Tse-Hsun Chen, Ahmed E. Hassan. Understanding the Factors for Fast Answers in Technical Q&A Websites: An Empirical Study on Four Stack Exchange  Websites. Empirical Software Engineering (2017). ",http://sail.cs.queensu.ca/Downloads/EMSE2017_UnderstandingTheFactorsForFastAnswersInQ&AWebsites.pdf,2017,Yes,50.0
51,"Shaowei Wang, David Lo, Bogdan Vasilescu, Alexander Serebrenik. EnTagRec++: An Enhanced Tag Recommendation System for Software Information Sites. Empirical Software Engineering (2017). ",http://www.win.tue.nl/~aserebre/EMSE-EnTagRecPlusPlus.pdf,2017,Yes,51.0
52,"Chunyang Chen, Zhenchang Xing, and Yang Liu. By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites. Proc. ACM Hum. -Comput. Interact. 1, CSCW, Article 32 (December 2017)  ",https://chunyang-chen.github.io/publication/correctSentence.pdf,2017,Yes,52.0
54,"Fabio Calefato, Filippo Lanubile, Federico Maiorano, Nicole Novielli. Sentiment Polarity Detection for Software Development. Empirical Software Engineering, https://doi. org/10. 1007/s10664-017-9546-9. PDF",https://arxiv.org/abs/1709.02984,2017,No,54.0
55,"Reza Gharibi, Mohammad Malekzadeh. Gamified Incentives: A Badge Recommendation Model to Improve User Engagement in Social Networking Websites International Journal of Advanced Computer Science and Applications(IJACSA), 8(5), 2017 ",http://thesai.org/Downloads/Volume8No5/Paper_33-Gamified_Incentives_A_Badge_Recommendation.pdf,2017,Yes,55.0
57,"Chunyang Chen, Zhenchang Xing, Ximing Wang. Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions The 39th International Conference on Software Engineering (ICSE), pp. 450-461 ",https://chunyang-chen.github.io/publication/seThesaurus.pdf,2017,Yes,57.0
59,"Azad, Shams, Peter C. Rigby, and Latifa Guerrouj. Generating API Call Rules from Version History and Stack Overflow Posts. ACM Transactions on Software Engineering and Methodology (TOSEM) 25. 4 (2017): 29. ",https://users.encs.concordia.ca/~pcr/paper/Azad2017TOSEM.pdf,2017,Yes,59.0
60,"Abdalkareem, Rabe, Emad Shihab, and Juergen Rilling. On Code Reuse from StackOverflow: An Exploratory Study on Android Apps. Information and Software Technology (2017). ",http://www.sciencedirect.com/science/article/pii/S0950584917303610,2017,No,60.0
61,"Abdalkareem, Rabe, Emad Shihab, and Juergen Rilling. What Do Developers Use the Crowd For? A Study Using Stack Overflow. IEEE Software 34. 2 (2017): 53-60. ",http://das.encs.concordia.ca/uploads/2016/12/Abdalkareem_SW2017.pdf,2017,Yes,61.0
62,"Campbell, Brock Angus, and Christoph Treude. NLP2Code: Code Snippet Content Assist via Natural Language Tasks. arXiv preprint arXiv:1701. 05648 (2017). ",https://arxiv.org/pdf/1701.05648,2017,No,62.0
63,"Convertino, Gregorio, et al. Toward a mixed-initiative QA system: from studying predictors in Stack Exchange to building a mixed-initiative tool. International Journal of Human-Computer Studies 99 (2017): 1-20. ",http://www.sciencedirect.com/science/article/pii/S1071581916301501,2017,No,63.0
64,"Vinayakarao, Venkatesh, et al. Anne: Improving source code search using entity retrieval approach. Proceedings of the Tenth ACM International Conference on Web Search and Data Mining. ACM, 2017. ",http://dl.acm.org/citation.cfm?id=3018691,2017,No,64.0
66,"Alexey Zagalsky, Daniel M. German, Margaret-Anne Storey, Carlos Gómez Teshima, and Germán Poo-Caamaño. 2017. How the R Community Creates and Curates Knowledge: An Extended Study of Stack Overflow and Mailing Lists. Journal of Empirical Software Engineering (EMSE), August 2017, Springer US. ",http://alexeyza.com/pdf/emse-msr2017.pdf,2017,Yes,66.0
68,"Yuji Mizobuchi, Kuniharu Takayama. Two improvements to detect duplicates in Stack Overflow. 24th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER 2017). ",https://ieeexplore.ieee.org/document/7884678,2017,No,68.0
69,"Pingyi Zhou, Jin Liu, Zijiang Yang, Guangyou Zhou. Scalable tag recommendation for software information sites. 24th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER 2017). ",https://ieeexplore.ieee.org/document/7884628,2017,No,69.0
70,"M. Ahasanuzzaman, M. Asaduzzaman, Chanchal K. Roy, Kevin A. Schneider: Mining duplicate questions in stack overflow ?. 13th International Conference on Mining Software Repositories (MSR 2016). ",https://dl.acm.org/citation.cfm?id=2901770,2016,No,70.0
71,"Chunyang Chen, Zhenchang Xing SimilarTech: Automatically Recommend Analogical Libraries across Different Programming Languages. The 31st IEEE/ACM International Conference on Automated Software Engineering (ASE) ",https://chunyang-chen.github.io/publication/analogyTool.pdf,2016,Yes,71.0
72,"Guibin Chen, Chunyang Chen, Zhenchang Xing, and Bowen Xu. Learning a Dual-Language Vector Space for Domain-Specific Cross-Lingual Question Retrieval. The 31st IEEE/ACM International Conference on Automated Software Engineering (ASE) ",https://chunyang-chen.github.io/publication/ASE2016_gbchen.pdf,2016,Yes,72.0
73,"Jing Li, Zhenchang Xing, Deheng Ye and Xuejiao Zhao. From Discussion to Wisdom: Web Resource Recommendation  for Hyperlinks in Stack Overflow. Proceedings of the 31st ACM Symposium on Applied Computing (SAC 2016). ",http://www.li-jing.com/papers/WisLinker.pdf,2016,Yes,73.0
74,"Srba, Ivan. Promoting Sustainability and Transferability of Community Question Answering. Information Sciences and Technologies 8. 2 (2016): 10. ",http://acmbulletin.fiit.stuba.sk/abstracts/srba2016.pdf,2016,Yes,74.0
75,"Boudaer, Glenn, and Johan Loeckx. Enriching Topic Modelling with Users' Histories for Improving Tag Prediction in Q&A Systems. Proceedings of the 25th International Conference Companion on World Wide Web. International World Wide Web Conferences Steering Committee, 2016. ",http://www2016.net/proceedings/companion/p669.pdf,2016,Yes,75.0
76,"Eduardo Campos, Martin Monperrus, Marcelo Maia. Searching Stack Overflow for API-usage-related Bug Fixes Using Snippet-based Queries. Proc. of 26th  International Conference on Computer Science and Software Engineering (CASCON), Toronto, Canada, p. 1-11, 2016. ",http://lascam.facom.ufu.br/cms/userfiles/downloads/2016/cascon-preprint.pdf,2016,Yes,76.0
77,"Utkarsh Upadhyay, Isabel Valera, Manuel Gomez-Rodriguez. Uncovering the Dynamics of Crowdlearning and the Value of Knowledge. 10th ACM International Conference on Web Search and Data Mining Conference (WSDM 2016). (Submitted on 14 Dec 2016. ) ",https://arxiv.org/abs/1612.04831,2016,No,77.0
78,"Fernanda Delfim, Klérisson Paixão, Damien Cassou, Marcelo Maia. Redocumenting APIs with crowd knowledge: a coverage analysis based on question types. Journal of the Brazilian Computer Society (JBCS). (Volume: 29, Issue: 1, Dec. 2016) Open Access. . ",http://dx.doi.org/10.1186/s13173-016-0049-0,2016,No,78.0
79,"Eduardo Campos, Lucas Souza, Marcelo Maia. Searching Crowd Knowledge to Recommend Solutions for API Usage Tasks. Journal of Software: Evolution and Process (JSEP). (Volume: 28, Issue: 10, Pages: 863--892). Wiley, 2016 . ",http://lascam.facom.ufu.br/cms/userfiles/downloads/2016/jsep2016AcceptedVersion.pdf,2016,Yes,79.0
81,"Ivan Srba and Maria Bielikova. Why is Stack Overflow Failing? Preserving Sustainability in Community Question Answering. IEEE Software (Volume: 33, Issue: 4, July-Aug. 2016). ",http://dx.doi.org/10.1109/MS.2016.34,2016,No,81.0
82,"Chunyang Chen, Zhenchang Xing, Lei Han. TechLand: Assisting Technology Landscape Inquiries with Insights from Stack Overflow. The 32nd IEEE International Conference on Software Maintenance and Evolution (ICSME 2016). ",https://chunyang-chen.github.io/publication/techLand.pdf,2016,Yes,82.0
84,"Chunyang Chen, Sa Gao, Zhenchang Xing. Mining Analogical Libraries in Q&A Discussions — Incorporating Relational and Categorical Knowledge into Word Embedding. The 23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER 2016). ",https://chunyang-chen.github.io/publication/analogical_libraries.pdf,2016,Yes,84.0
86,"Chunyang Chen, Zhenchang Xing. Towards Correlating Search on Google and Asking on Stack Overflow. The 40th IEEE Computer Society International Conference on Computers, Software & Applications (COMPSAC 2016). ",https://chunyang-chen.github.io/publication/ask_search_correlation.pdf,2016,Yes,86.0
88,"Chunyang Chen, Zhenchang Xing. Mining Technology Landscape from Stack Overflow. The 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM 2016). ",https://chunyang-chen.github.io/publication/technology_landscape.pdf,2016,Yes,88.0
90,"Deheng Ye, Zhenchang Xing, Chee Yong Foo, Jing Li, and Nachiket Kapre. Learning to Extract API Mentions from Informal Natural Language Discussions. The 32nd International Conference on Software Maintenance and Evolution (ICSME 2016). ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/icsme2016.pdf,2016,Yes,90.0
91,"Deheng Ye, Zhenchang Xing, and Nachiket Kapre. The Structure and Dynamics of Knowledge Network in Domain-specific Q&A Sites: A Case Study of Stack Overflow. Journal of Empirical Software Engineering (EMSE). 2016. (IF: 2. 161) ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/template.pdf,2016,Yes,91.0
92,"Deheng Ye, Zhenchang Xing, Chee Yong Foo, Zi Qun Ang, Jing Li, and Nachiket Kapre. Software-specific Named Entity Recognition in Software Engineering Social Content. The 23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER 2016). ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/saner2016.pdf,2016,Yes,92.0
93,"Deheng Ye, Zhenchang Xing, Jing Li, and Nachiket Kapre. Software-specific Part-of-speech Tagging: An Experimental Study on Stack Overflow. The 31st ACM/SIGAPP Symposium on Applied Computing (SAC 2016). ",http://yedeheng.weebly.com/uploads/5/0/3/9/50390459/sac2016.pdf,2016,Yes,93.0
94,"Luca Ponzanelli, Gabriele Bavota, Andrea Mocci, Massimiliano Di Penta, Rocco Oliveto, Mir Hasan, Barbara Russo, Sonia Haiduc, Michele Lanza. Too Long; Didn’t Watch! Extracting Relevant Fragments from Software Development Video Tutorials, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",http://www.inf.usi.ch/phd/ponzanelli/profile/publications/2016a/Ponz2016a.pdf,2016,Yes,94.0
96,"Luca Ponzanelli, Gabriele Bavota, Andrea Mocci, Massimiliano Di Penta, Rocco Oliveto, Barbara Russo, Sonia Haiduc, Michele Lanza. CodeTube: Extracting Relevant Fragments from Software Development Video Tutorials, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",http://www.inf.usi.ch/phd/ponzanelli/profile/publications/2016b/Ponz2016b.pdf,2016,Yes,96.0
97,"Alessandro Murgia, Daan Janssens, Serge Demeyer, Bogdan Vasilescu. Among the Machines: Human-Bot Interaction on Social Q&A Websites, In Proceedings of the ACM SIGCHI Conference on Human Factors in Computing Systems (CHI 2016). ",http://bvasiles.github.io/papers/chi16bot.pdf,2016,Yes,97.0
98,"Christoph Treude, Martin P. Robillard. Augmenting API Documentation with Insights from Stack Overflow, In Proceedings of the 38th International Conference on Software Engineering (ICSE 2016). ",https://ctreude.files.wordpress.com/2016/01/icse16a.pdf,2016,Yes,98.0
100,"Varun Kumar, Niranjan Pedanekar. Mining Shapes of Expertise in Online Social Q&A Communities In Companion Proceedings of CSCW 2016, the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing. ",https://www.researchgate.net/profile/Varun_Kumar36/publication/289372815_Mining_Shapes_of_Expertise_in_Online_Social_QA_Communities/links/568bddaa08ae16c414a9c4d6.pdf?inViewer=0&pdfJsDownload=0&origin=publication_detail,2016,No,100.0
104,"Alexey Zagalsky, Carlos Gómez Teshima, Daniel M. German, Margaret-Anne Storey, and Germán Poo-Caamaño. 2016. How the R Community Creates and Curates Knowledge: A Comparative Study of Stack Overflow and Mailing Lists. In 13th International Conference on Mining Software Repositories (MSR 2016). ACM, pages 441-451. ",https://speakerdeck.com/alexeyza/msr16-how-the-r-community-creates-and-curates-knowledge,2016,No,104.0
105,"Ahasanuzzaman, Asaduzzaman, et al. Mining Duplicate Questions of Stack Overflow. IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR 2016) ",https://ieeexplore.ieee.org/document/7832919,2016,No,105.0
106,"Lin Wang, Bin Wu, Juan Yang, Shuang Peng. Personalized recommendation for new questions in community question answering. IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM 2016). ",https://ieeexplore.ieee.org/document/7752346,2016,No,106.0
107,"Manish Bhanu, Joydeep Chandra. Exploiting response patterns for identifying topical experts in StackOverflow. Eleventh International Conference on Digital Information Management (ICDIM 2016). ",https://ieeexplore.ieee.org/document/7829790,2016,No,107.0
108,"Beyer, Stefanie and Pinzger, Martin Synonym Suggestion for Tags on Stack Overflow. Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension, ICPC '15, 2015. . ",http://dl.acm.org/citation.cfm?id=2820282.2820296,2015,No,108.0
109,"Luis Mastrangelo, Luca Ponzanelli, Andrea Mocci, Matthias Hauswirth, Nathaniel Nystrom, Michele Lanza. Use at Your Own Risk: The Java Unsafe API in the Wild. In Proceedings of the International Conference on Object Oriented Programming Systems Languages & Applications (OOPSLA 2015) ",http://www.inf.usi.ch/phd/ponzanelli/publications/2015e/downloads/Ponz2015d.pdf,2015,Yes,109.0
110,"Sharma, Abhishek, Yuan Tian, and David Lo. Nirmal: Automatic identification of software relevant tweets leveraging language model. Software Analysis, Evolution and Reengineering (SANER), 2015 IEEE 22nd International Conference on. IEEE, 2015. PDF",https://github.com/abhishek9sharma/abhishek9sharma.github.io/blob/master/Papers/saner15-tweets.pdf,2015,Yes,110.0
111,"Luca Ponzanelli, Andrea Mocci, Michele Lanza. Summarizing Complex Development Artifacts by Mining Heterogeneous Data. In Proceedings of the 12th Working Conference on Mining Software Repositories (MSR 2015)  ",http://www.inf.usi.ch/phd/ponzanelli/profile/publications/2015b/Ponz2015b.pdf,2015,Yes,111.0
113,"Luca Ponzanelli, Andrea Mocci, Michele Lanza. StORMeD: Stack Overflow Ready Made Data. In Proceedings of the 12th Working Conference on Mining Software Repositories (MSR 2015) ",http://www.inf.usi.ch/phd/ponzanelli/profile/publications/2015a/Ponz2015a.pdf,2015,Yes,113.0
114,"Nicole Novielli, Fabio Calefato, Filippo Lanubile. The Challenges of Sentiment Detection in the Social Programmer Ecosystem. In Proceedings of SSE '15, The 7th International Workshop on Social Software Engineering. . ",https://dl.dropboxusercontent.com/u/3463652/SSE_Q%26A_CameraReady.pdf,2015,Yes,114.0
116,"Guo Li, Haiyi Zhu, Tun Lu, Xianghua Ding, Ning Gu. Is It Good to Be Like Wikipedia?: Exploring the Trade-offs of Introducing Collaborative Editing Model to Q&A Sites (CSCW 2015). ",http://dl.acm.org/citation.cfm?id=2675155,2015,No,116.0
117,"Joshua Sunshine, James D. Herbsleb, and Jonathan Aldrich. Searching the State Space: A Qualitative Study of API Protocol Usability In Proceedings of the International Conference on Program Comprehension (ICPC 2015). ",http://www.cs.cmu.edu/~jssunshi/pubs/icpc15-searching.pdf,2015,Yes,117.0
118,"Fabio Calefato, Filippo Lanubile, Maria Concetta Marasciulo, Nicole Novielli. Mining Successful Answers in Stack Overflow. In Proceedings of MSR 2015, The 12th Working Conference on Mining Software Repositories. . ",https://dl.dropboxusercontent.com/u/3463652/PID3635881.pdf,2015,Yes,118.0
121,"Christoffer Rosen, Emad Shihab, 2015. What are mobile developers asking about? A large scale study using stack overflow. In Empirical Software Engineering, April 2015. Springer Science+Business Media. ",http://rd.springer.com/content/pdf/10.1007%2Fs10664-015-9379-3.pdf,2015,Yes,121.0
122,"Arwan Achmad, Rochimah Siti, Akbar Rizky, January 2015. Source code retrieval on StackOverflow using LDA. In: Information and Communication Technology (ICoICT), 2015 3rd International Conference on. IEEE, 2015. p. 295-299. ",http://dx.doi.org/10.1109/ICoICT.2015.7231439,2015,No,122.0
123,"Chua, Alton YK, and Snehasish Banerjee. Answers or no answers: Studying question answerability in Stack Overflow. Journal of Information Science 41. 5 (2015): 720-731. ",http://journals.sagepub.com/doi/abs/10.1177/0165551515590096,2015,No,123.0
124,"Yun Zhang, David Lo, Xin Xia, Jian-Ling Sun. Multi-Factor Duplicate Question Detection in Stack Overflow. Journal of Computer Science and Technology (Volume 30, Issue 5, Pages 981–997) 2015. ",https://soarsmu.github.io/papers/jcst-duplicateqns.pdf,2015,Yes,124.0
125,"Morakot Choetkiertikul, Daniel Avery, et al. Who Will Answer My Question on Stack Overflow? 24th Australasian Software Engineering Conference 2015. ",https://ieeexplore.ieee.org/document/7365804,2015,No,125.0
