,file,local_path,abstract
10,Emillie_Thiselton__Christoph_Treude__Enhancing_Python_Compiler_Error_Messages_via_Stack_Overflow__ar,2019/Emillie_Thiselton__Christoph_Treude__Enhancing_Python_Compiler_Error_Messages_via_Stack_Overflow__ar.pdf,"Background: Compilers tend to produce cryptic and uninformative error messages, leaving programmers confused and requiring them to spend precious time to resolve the underlying error. To find help, programmers often take to online question-and-answer forums such as Stack Overflow to start discussion threads about the errors they encountered. Aims: We conjecture that information from Stack Overflow threads which discuss compiler errors can be automatically collected and repackaged to provide programmers with enhanced compiler error messages, thus saving programmers’ time and energy. Method: We present Pycee, a plugin integrated with the popular Sublime Text IDE to provide enhanced compiler error messages for the Python programming language. Pycee auto- matically queries Stack Overflow to provide customised and summarised information within the IDE. We evaluated two Pycee variants through a think-aloud user study during which 16 programmers completed Python programming tasks while using Pycee. Results: The majority of participants agreed that Pycee was helpful while completing the study tasks. When compared to a baseline relying on the official Python documentation to enhance compiler error messages, participants generally preferred Pycee in terms of helpfulness, citing concrete suggestions for fixes and example code as major benefits. Conclusions: Our results confirm that data from online sources such as Stack Overflow can be successfully used to automatically enhance compiler error messages. Our work opens up venues for future work to further enhance compiler error messages as well as to automatically reuse content from Stack Overflow for other aspects of programming."
11,Sebastian_Baltes__Christoph_Treude__and_Stephan_Diehl__SOTorrent___Studying_the_Origin__Evolution__a,2019/Sebastian_Baltes__Christoph_Treude__and_Stephan_Diehl__SOTorrent___Studying_the_Origin__Evolution__a.pdf,"Stack Overflow (SO) is the most popular question- and-answer website for software developers, providing a large amount of copyable code snippets. Like other software artifacts, code on SO evolves over time, for example when bugs are fixed or APIs are updated to the most recent version. To be able to analyze how code and the surrounding text on SO evolves, we built SOTorrent, an open dataset based on the official SO data dump. SOTorrent provides access to the version history of SO content at the level of whole posts and individual text and code blocks. It connects code snippets from SO posts to other platforms by aggregating URLs from surrounding text blocks and comments, and by collecting references from GitHub files to SO posts. Our vision is that researchers will use SOTorrent to investigate and understand the evolution and maintenance of code on SO and its relation to other platforms such as GitHub."
12,Chunyang_Chen__Zhenchang_Xing__Yang_Liu__What_s_Spain_s_Paris__Mining_Analogical_Libraries_from_Q_A_,2018/Chunyang_Chen__Zhenchang_Xing__Yang_Liu__What_s_Spain_s_Paris__Mining_Analogical_Libraries_from_Q_A_.pdf,"Third-party libraries are an integral part of many software projects. It often happens that developers need to find analogical libraries that can provide comparable features to the li- braries they are already familiar with for different programming languages or different mobile platforms. Existing methods to find analogical libraries are limited by the community-curated list of libraries, blogs, or Q&A posts, which often contain overwhelming or out-of-date information. In this paper, we present a new approach to recommend analogical libraries based on a knowledge base of analogical libraries mined from tags of millions of Stack Overflow questions. The novelty of our approach is to solve analogical-library questions by combining state-of-the-art word embedding technique and domain-specific relational and categorical knowledge mined from Stack Overflow. Given a library and a recommended analogical library, our approach further extracts questions and answer snippets in Stack Overflow about comparison of analogical libraries, which can potentially offer useful information scents for developers to further their investigation of the recommended analogical libraries. We implement our approach in a proof-of-concept web application and more than 34.8 thousands of users visited our website from November 2015 to August 2017. Our evalu- ation shows that our approach can make accurate recommendation of analogical libraries. We also demonstrate the usefulness of our analogical-library recommendations by using them to answer analogical-library questions in Stack Overflow. Google Analytics of our website traffic and analysis of the visitors’ interaction with website contents provide the insights into the usage patterns and the system design of our web application."
13,Chunyang_Chen__Xi_Chen__Jiamou_Sun__Zhenchang_Xing_and_Guoqiang_Li__Data_Driven_Proactive_Policy_Ass,2018/Chunyang_Chen__Xi_Chen__Jiamou_Sun__Zhenchang_Xing_and_Guoqiang_Li__Data_Driven_Proactive_Policy_Ass.pdf,"ing with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. © 2018 Association for Computing Machinery. 2573-0142/2018/11-ART33 $15.00 https://doi.org/10.1145/3274302 Proc. ACM Hum.-Comput. Interact., Vol. 2, No. CSCW, Article 33. Publication date: November 2018. 33:2 C. Chen et al. grammar errors, inappropriate code and text formatting, and the lack of important information (e.g., data visualization images, URLs of already-studied posts or referenced resources) Such quality decay negatively influences the readability and understandability of posts, which may further discourage the participation of users [33]. To avoid the quality decay of the sites, Q&A sites like Stack Overflow provide official recommendations for effective question writing [7] and answer writing [8], by incorporating the suggestions [1, 2] from the highest reputation community member in Stack Overflow, Jon Skeet [9] who answered more than 34,000 questions in the last decade. These guidelines include different quality aspects such as adding source code, containing as much detail as possible, providing links to related resources, checking post formatting and spellings, being polite, etc. All of these guidelines can be regarded as site-specific quality assurance policies. By following these policies, the questions and answers created by users will be clear and easy to understand, leading to the boost of site quality. Although all users are encouraged to obey the quality assurance policies, many users may still violate it carelessly or unintentionally. New users may not even be aware of the existence of these policies initially until other users point out the issues in their posts and recommend relevant policies to them. That is, quality assurance policies are a kind of tacit knowledge and implicit community norms in a Q&A site. Such community norms include a set of behaviours expected in a community, based on the community’s values, traditions, policies, etc [4]. Although there are guidelines for users to read, they may still not clearly understand what they should or should not do in different circumstances, because the guidelines are mostly high-level principles and descriptions which lack detailed examples of patterns and anti-patterns. Furthermore, many community norms are context sensitive, which lead to different rules in different context. For example, users should use Markdown list to highlight text structure, while using proper code indents for code structure on Stack Overflow. Therefore, it is not only difficult for policy makers to enumerate all policy rules, but also for users, even experienced users to decide what rules they should use in different contexts. To ensure the site quality [36], Stack Overflow encourages users, especially experienced users3 to collaboratively edit the posts to make them comply with the site quality standards. Among 36,943,972 posts including questions and answers (as of August 2017), 14,639,359 (39.6%) of them have been edited at least once. Post edits involve not only minor corrections of misspellings and grammar errors, but also improving text and code formatting, removing unnecessary contents, and adding related resources (e.g., screenshots) or hyperlinks. Although collaborative editing is beneficial for the community [33], there are still three problems with such mechanism. First, it requires significant community effort, especially from high-reputation users to edit the posts directly and/or approve edits by other users. Second, some violations of community norms, especially relatively complicated ones such as whether some code, images or hyperlinks are needed or not, are difficult to spot, as they may require a good understanding of the question or answer content. Third, all these collaborative edits are reactive to existing policy violations which may have already harmed the readers of the posts before edits, or made it difficult for those who want to help to answer the questions. In addition to collaborative editing for reactive policy assurance, we also need a more proactive mechanism of policy assurance which could check a post before it is posted, spot the potential issues in the post, and remind the post owner to fix issues if any. If the post owner publishes the post regardless of the proactive warnings of potential issues, this policy assurance checker could also attract other users’ attention to such potentially problematic posts so that these users could either edit the posts directly or recommend the post owner to edit the post timely. The goal of our work is to develop such a proactive policy assurance mechanism which can complement the collaborative 3https://stackoverflow.com/help/editing Proc. ACM Hum.-Comput. Interact., Vol. 2, No. CSCW, Article 33. Publication date: November 2018. Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites 33:3 editing mechanism. Our work is data driven and built on top of existing collaborative editing patterns by users. Therefore, our research questions are two-fold: 1) what kinds of community norms are manifested in collaborative edits? 2) what techniques can effectively learn collaborative editing patterns by human users to assist users in following community norms proactively? To answer the first research question, we conduct an empirical study of millions of collaborative edits on Stack Overflow to understand common types of post edits and editing details within these types. By analysing the topics in the comments of post edits, besides minor sentence-level edits, four middle-level editing types emerge, including code formatting, text formatting, hyperlink modification and image revision. Chen et al.’s sentence correction method [20, 21] can correct only minor mistakes like misspellings or grammar errors, but it cannot recommend more complex post edits such as formatting code or text, adding hyperlinks, or adding images. Considering the wide range of post contents and formats involved in post edits (see Fig. 1 for examples), it would require significant manual effort to develop a complete set of rules for representing editing patterns. This challenge motivates us to develop a deep-learning based post policy assurance janitor to recommend to post owners or other users potential mid-level edits that may be needed to make a post meet community norms in Stack Overflow, such as post edits shown in Fig. 1. This janitor can also justify its prediction by pointing out the post content relevant to the predicted edits. In particular, we formulate post edit recommendation as a text classification problem, in which a post can be predicted as “need certain type of edit” or “no need for certain type of edit”. In this work, we consider four types of mid-level post edits, i.e., code format, text format, link modification, image revisions identified in our formative study of collaborative edits. Inspired by the recent progress of deep learning for text classification [26, 35, 51], we adopt Convolutional Neural Network (CNN) to predict if a post needs or not need any of these four types of edits. Furthermore, we exploit the computation structure of CNN to identify key phrases in the post that contribute most to a classification result. This helps users understand why CNN recommends certain edits to the post. To evaluate our approach, we collect a large dataset of edited posts (as positive data) and non- edited posts (as negative data) from Stack Overflow post edit history for model training and testing. Our results show that our approach outperforms other machine learning based and deep learning based baselines for post edit prediction. We then explain the detailed comparison of our model with the baselines, and also analyze reasons for common prediction errors by our model. Finally, we visualize and check what phrases in the posts contribute to the post edit predictions which uncover the black box of our deep learning model. We make the following contributions in this paper: • We conduct an empirical study to investigate the Stack Overflow’s collaborative editing practices, including editing types, users’ attention on different types of edits, scale of changes, and concrete editing patterns. This study identifies four types of post edits that an automatic tool can predict and the requirements for the tool. • We develop a CNN-based approach that learns from historical post editing data to predict the type(s) of edits that a post may need and help users understand why the edit is recommended. • We conduct large-scale experiments to evaluate the performance and limitations of our approach. Our approach achieves good precision, recall, and F1-score (at least 0.7) on a large dataset of collaborative editing data. Qualitative analysis of the CNN-learned key phrases confirms their intuitiveness for understanding the CNN’s prediction results. 2 RELATED WORK There is a growing body of research on the quality of user-generated content, which can be broadly divided into two groups: 1) research on the importance of the quality of user-generated content to the community, and 2) research that assists the quality assurance of user-generated content. Proc. ACM Hum.-Comput. Interact., Vol. 2, No. CSCW, Article 33. Publication date: November 2018. 33:4 C. Chen et al. The general consensus is that the quality of user-generated content is a key factor to attract users to visit knowledge-sharing websites such as Wikipedia, Quora, Stack Overflow. Much research effort has been put into the investigation of the content quality of such websites. For example, Stvilla et al. [44, 45] carry out an empirical study to examine the information quality aspects of Wikipedia which can then guide the construction of context-specific information quality models. Allahbakhsh et al. [12] propose a framework for characterizing various dimensions of quality control in crowdsourcing systems, and also potential issues and research directions. Studies [33, 36] show that collaborative editing can improve the content quality of Stack Overflow. Different from these works, our empirical study distills common post editing types and patterns that manifest implicit quality assurance policies on Stack Overflow by analysing large-scale historical collaborative editing data. Analyzing common post editing types and patterns helps us determine the feasibility of proactive post edit recommendation and inspires the design of our CNN-based approach. As the sorely manual collaborative editing is time-consuming and labor extensive, machine learning technique has been developed to assist collaborative editing in online communities. Hu et al. [29] and Anderka et al. [13] train a classifier to predict the quality issues of articles on Wikipedia. Wikipedia itself also develops the Objective Revision Evaluation Service (ORES) [3] to separate blatant vandalism from well-intentioned changes in the edit review process. Ponzanelli et al. [40] present an approach to detect low-quality posts in Stack Overflow based on simple textual features and readability metrics. Our edit recommendation approach is different in that it works at a more fine-grained level. Our approach tells not only if the post is of good or poor quality, but also predict what type(s) of edits may be needed. In addition, we adopt more advanced deep learning (CNN) algorithm to improve the prediction performance and justify the model’s prediction. Some researchers also adopt deep learning methods to assist the quality assurance of user- generated content. Chen et al. [20] use a RNN encoder-decoder to predict if minor sentence-level revisions are needed such as grammar errors, misspellings. Xie et al. [47] add attention to the RNN encoder-decoder to assist grammatical error correction. Both works target at minor revisions, while our work involves prediction of more complicated editing types such as adding code or text format, hyperlinks or images. Compared with their sentence-level prediction, our task is more difficult with modeling more contextual information at post-level which involves multiple sentences. We formulate the post edit prediction in this work as a text classification problem. Many ap- proaches have been proposed to tackle that problem, ranging from machine learning [25, 30] to deep learning [26, 35, 51]. Among deep learning based methods, CNN [51] and RNN [35] are widely adopted for text classification. As RNN especially LSTM is capable at capturing the overall semantic of text, it works well in a broad range of tasks except when the task is essentially a keyphrase recognition task [14, 49]. According to our observation, most post edits depend on some key phrases or words in the post, hence we adopt the CNN model in this work. In addition, by leveraging key phrase recognition capability of CNN, we can further extract those key phrases which can help users understand why certain type of post edits are recommended. 3 EMPIRICAL STUDY OF COLLABORATIVE EDITING IN STACK OVERFLOW Stack Overflow is selected as our study subject, not only because of its popularity and large user base [17–19], but also because it is a well-known online Q&A site which supports collaborative editing [33, 36]. We download the latest data dump4 of Stack Overflow which contains 36,943,972 posts (including 14,237,281 questions and 22,618,594 answers). It was released by Stack Overflow at 27th August 2017 and it was a snapshot of all post edits since the launch of Stack Overflow in 2007 to 27th August 2017. Based on this large dataset, we carry out an empirical study of post edits in 4https://archive.org/download/stackexchange Proc. ACM Hum.-Comput. Interact., Vol. 2, No. CSCW, Article 33. Publication date: November 2018. Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites 33:5 4. Link Modification 1.1 Minor Revision (Spelling) 1.2 Minor Revision (Grammar) 2. Code Edit (Format) 3. Text Edit (Format) 5. Image Revision Fig. 1. Examples of five types of post edits Stack Overflow to understand the characteristics of post editing and to motivate the required tool support. 3.1 What has been edited? In Stack Overflow, there are three kinds of post information which can be edited, i.e., question tags, question title, and post body [33]. As of August 27, 2017, there have been in total 26,025,446 post edits. Among them, 2,106,079 (8.1%) are question-title edits, 2,930,379 (11.3%) are question-tag edits, and the majority of post edits (20,988,988 (80.6%)) are post-body edits5. The tags of 2,498,568 (17.6%) questions, the titles of 1,832,054 (12.9%) questions, and the body of 13,341,488 (36.2%) posts have been edited at least once. Overall, post-body edits make up the majority of post edits. And compared with adding/removing question tags, revising question titles, post-body editing is more complex (further studied in the next question). Therefore, we focus on post-body edits in this work. 3.2 What kinds of edits have been made? We analyze the comments of post edits to understand what post edits are about. In Stack Overflow, when users finish editing a post, they can add a short comment to summarize the post edit. We 5Some posts that need some edits may not be actually edited (false negatives), while some posts that have been edited may not need the edits (false positives). We assume that the majority of Stack Overflow post editing data is reliable due to the community curation of the site content. Proc. ACM Hum.-Comput. Interact., Vol. 2, No. CSCW, Article 33. Publication date: November 2018. 33:6 C. Chen et al. Table 1. Frequent phrases from post-edit comments Unigram Bigram Trigram Phrases Frequency Phrases Frequency Phrases Frequency http 1585947 improve format 439122 insert duplicate link 45842 format 1481740 code format 235428 fix code format 28170 code 1102378 add code 110441 improve code format 22391 grammar 359107 fix grammar 100943 fix trivial typos 11617 link 344236 correct spell 100805 add code format 8983 spell 329189 add link 69231 add syntax highlight 6383 typo 197242 fix typo 68143 add code example 6279 example 150384 fix format 64678 add code block 6191 rollback 103205 add example 38924 fix code indentation 6015 image 77574 add detail 37293 add backticks around 5409 readability 73245 syntax highlight 23504 add code snippet 5403 syntax 70763 code indentation 21247 fix code block 5373 indentation 68273 add image 19264 format code block 4911 highlight 62129 edit code 17495 add sample code 4830 reference 46467 update link 17289 add example code 4693 collect all post-edit comments and apply standard text processing step to post-edit comment such as removing punctuations, lowercasing all characters, and excluding stop words. 3.2.1 Frequent words or phrases. We extract unique unigrams, bigrams and trigrams from post- edit comments and count their frequencies in the corpus of post-edit comments. n-gram is a contiguous sequence of n words from text. The most frequent unigrams, bigrams and trigrams can be seen in Table 1. Some frequent words and phrases are about grammar problems such as “grammar”, “correct spell”, “fix trivial typos”. In addition, post-edit comments also indicate many other types of post edits, such as code formatting (“code format”, “fix code indentation”), text formatting (“readability”, “syntax highlight”), hyperlink modification (“http”, “update link”, “insert duplicate link”), and image revision (“add image”). 3.2.2 Editing topics and types. To extract common editing types, we adopt the Latent Dirichlet Allocation (LDA) model [16] to analyze the post-edit comments. LDA is a statistical model for discovering abstract topics that occur in a collection of documents in which each topic consists of a set of"
14,Shaowei_Wang__Tse_Hsun_Chen__Ahmed__E__Hassan__How_Do_Users_Revise_Answers_on_Technical_Q_A_Websites,2018/Shaowei_Wang__Tse_Hsun_Chen__Ahmed__E__Hassan__How_Do_Users_Revise_Answers_on_Technical_Q_A_Websites.pdf,"To ensure the quality of its shared knowledge, Stack Overflow encourages users to revise answers through a badge system, which is based on quantitative measures (e.g., a badge is awarded after revising more than 500 answers). Prior studies show that badges can positively steer the user behavior on Stack Overflow (e.g., increasing user participation). However, little is known whether revision-related badges have a negative impact on the quality of revisions since some studies show that certain users may game incentive systems to gain rewards. In this study, we analyze 3,871,966 revision records that are collected from 2,377,692 Stack Overflow answers. We find that: 1) Users performed a much larger than usual revisions on the badge-awarding days compared to normal days; 25% of the users did not make any more revisions once they received their first revision-related badge. 2) Performing more revisions than usual in a single day increased the likelihood of such revisions being rolled back (e.g., due to undesired or incorrect revisions). 3) Users were more likely to perform text and small revisions if they performed many revisions in a single day. Our findings are concurred by the Stack Overflow community, and they highlight the need for changes to the current badge system in order to provide a better balance between the quality and quantity of revisions."
15,Sebastian_Baltes_and_Stephan_Diehl__Usage_and_Attribution_of_Stack_Overflow_Code_Snippets_in_GitHub_,2018/Sebastian_Baltes_and_Stephan_Diehl__Usage_and_Attribution_of_Stack_Overflow_Code_Snippets_in_GitHub_.pdf,"Stack Overflow (SO) is the most popular question-and-answer web- site for software developers, providing a large amount of copyable code snip- pets. Using those snippets raises maintenance and legal issues. SO’s license (CC BY-SA 3.0) requires attribution, i.e., referencing the original question or answer, and requires derived work to adopt a compatible license. While there is a heated debate on SO’s license model for code snippets and the required attribution, little is known about the extent to which snippets are copied from SO without proper attribution. We present results of a large-scale empirical study analyzing the usage and attribution of non-trivial Java code snippets from SO answers in public GitHub (GH) projects. We followed three different approaches to triangulate an estimate for the ratio of unattributed usages and conducted two online surveys with software developers to complement our re- sults. For the different sets of projects that we analyzed, the ratio of projects containing files with a reference to SO varied between 3.3% and 11.9%. We found that at most 1.8% of all analyzed repositories containing code from SO used the code in a way compatible with CC BY-SA 3.0. Moreover, we estimate that at most a quarter of the copied code snippets from SO are attributed as required. Of the surveyed developers, almost one half admitted copying code from SO without attribution and about two thirds were not aware of the license of SO code snippets and its implications."
16,Yi_Huang__Chunyang_Chen__Zhenchang_Xing__Tian_Lin_and_Yang_Liu__Tell_Them_Apart__Distilling_Technolo,2018/Yi_Huang__Chunyang_Chen__Zhenchang_Xing__Tian_Lin_and_Yang_Liu__Tell_Them_Apart__Distilling_Technolo.pdf,"Developers can use different technologies for many software de- velopment tasks in their work. However, when faced with several technologies with comparable functionalities, it is not easy for de- velopers to select the most appropriate one, as comparisons among technologies are time-consuming by trial and error. Instead, de- velopers can resort to expert articles, read official documents or ask questions in Q&A sites for technology comparison, but it is opportunistic to get a comprehensive comparison as online infor- mation is often fragmented or contradictory. To overcome these limitations, we propose the diffTech system that exploits the crowd- sourced discussions from Stack Overflow, and assists technology comparison with an informative summary of different comparison aspects. We first build a large database of comparable technologies in software engineering by mining tags in Stack Overflow, and then locate comparative sentences about comparable technologies with natural language processing methods. We further mine prominent comparison aspects by clustering similar comparative sentences and representing each cluster with its"
17,Yuhao_Wu__Shaowei_Wang_Cor_Paul_Bezemer__Katsuro_Inoue__How_Do_Developers_Utilize_Source_Code_from_S,2018/Yuhao_Wu__Shaowei_Wang_Cor_Paul_Bezemer__Katsuro_Inoue__How_Do_Developers_Utilize_Source_Code_from_S.pdf,"Technical question and answer Q&A platforms, such as Stack Over- ow, provide a platform for users to ask and answer questions about a wide variety of programming topics. These platforms accumulate a large amount of knowledge, including hundreds of thousands lines of source code. Developers can bene t from the source code that is attached to the questions and answers on Q&A platforms by copying or learning from (parts of) it. By understand- ing how developers utilize source code from Q&A platforms, we can provide insights for researchers which can be used to improve next-generation Q&A platforms to help developers reuse source code fast and easily. In this paper, we rst conduct an exploratory study on 289 les from 182 open-source projects, which contain source code that has an explicit reference to a Stack Over ow post. Our goal is to understand how developers utilize code from Q&A platforms and to reveal barriers that may make code reuse more di cult. In 31.5% of the studied les, developers needed to modify source code from Stack Over ow to make it work in their own projects. The degree of required modi cation varied from simply renaming variables to rewriting the whole algorithm. Developers sometimes chose to implement an algorithm from scratch based on the descriptions from Stack Over ow answers, even if there was an implementation readily available in the post. In 35.5% of the studied les, developers used Stack Over ow posts as an information source for later reference. To further understand the barriers of reusing code and to obtain sugges- tions for improving the code reuse process on Q&A platforms, we conducted a survey with 453 open-source developers who are also on Stack Over ow. We Yuhao Wu · Katsuro Inoue Graduate School of Information Science and Technology, Osaka University, Japan E-mail: {wuyuhao,inoue}@ist.osaka-u.ac.jp Shaowei Wang (�) · Cor-Paul Bezemer SAIL, Queen's University, Canada E-mail: {shaowei,bezemer}@cs.queensu.ca 2 Yuhao Wu et al. found that the top 3 barriers that make it di cult for developers to reuse code from Stack Over ow are: (1) too much code modi cation required to t in their projects, (2) incomprehensive code, and (3) low code quality. We summarized and analyzed all survey responses and we identi ed that developers suggest improvements for future Q&A platforms along the follow- ing dimensions: code quality, information enhancement & management, data organization, license, and the human factor. For instance, developers suggest to improve the code quality by adding an integrated validator that can test source code online, and an outdated code detection mechanism. Our ndings can be used as a roadmap for researchers and developers to improve code reuse."
18,Fabio_Calefato__Filippo_Lanubile__Nicole_Novielli__How_to_Ask_for_Technical_Help__Evidence_based_Gui,2018/Fabio_Calefato__Filippo_Lanubile__Nicole_Novielli__How_to_Ask_for_Technical_Help__Evidence_based_Gui.pdf,
19,Denae_Ford__Kristina_Lustig__Jeremy_Banks__Chris_Parnin___We_Don_t_Do_That_Here___How_Collaborative_,2018/Denae_Ford__Kristina_Lustig__Jeremy_Banks__Chris_Parnin___We_Don_t_Do_That_Here___How_Collaborative_.pdf,"Online question-and-answer (Q&A) communities like Stack Overflow have norms that are not obvious to novice users. Novices create and post programming questions without feed- back, and the community enforces site norms through public downvoting and commenting. This can leave novices discour- aged from further participation. We deployed a month long, just-in-time mentorship program to Stack Overflow in which we redirected novices in the process of asking a question to an on-site Help Room. There, novices received feedback on their question drafts from experienced Stack Overflow mentors. We present examples and discussion of various question improve- ments including: question context, code formatting, and word- ing that adheres to on-site cultural norms. We find that men- tored questions are substantially improved over non-mentored questions, with average scores increasing by 50%. We pro- vide design implications that challenge how socio-technical communities onboard novices across domains. ACM Classification"
20,Sebastian_Baltes__Lorik_Dumani__Christoph_Treude__and_Stephan_Diehl__SOTorrent__Reconstructing_and_A,2018/Sebastian_Baltes__Lorik_Dumani__Christoph_Treude__and_Stephan_Diehl__SOTorrent__Reconstructing_and_A.pdf,"Stack Overflow (SO) is the most popular question- and-answer website for software developers, providing a large amount of copyable code snippets. Like other software artifacts, code on SO evolves over time, for example when bugs are fixed or APIs are updated to the most recent version. To be able to analyze how code and the surrounding text on SO evolves, we built SOTorrent, an open dataset based on the official SO data dump. SOTorrent provides access to the version history of SO content at the level of whole posts and individual text and code blocks. It connects code snippets from SO posts to other platforms by aggregating URLs from surrounding text blocks and comments, and by collecting references from GitHub files to SO posts. Our vision is that researchers will use SOTorrent to investigate and understand the evolution and maintenance of code on SO and its relation to other platforms such as GitHub."
21,Sebastian_Baltes__Lorik_Dumani__Christoph_Treude__and_Stephan_Diehl__SOTorrent__Reconstructing_and_A,2018/Sebastian_Baltes__Lorik_Dumani__Christoph_Treude__and_Stephan_Diehl__SOTorrent__Reconstructing_and_A.pdf,"Stack Overflow (SO) is the most popular question- and-answer website for software developers, providing a large amount of copyable code snippets. Like other software artifacts, code on SO evolves over time, for example when bugs are fixed or APIs are updated to the most recent version. To be able to analyze how code and the surrounding text on SO evolves, we built SOTorrent, an open dataset based on the official SO data dump. SOTorrent provides access to the version history of SO content at the level of whole posts and individual text and code blocks. It connects code snippets from SO posts to other platforms by aggregating URLs from surrounding text blocks and comments, and by collecting references from GitHub files to SO posts. Our vision is that researchers will use SOTorrent to investigate and understand the evolution and maintenance of code on SO and its relation to other platforms such as GitHub."
22,Shaowei_Wang__Tse_Hsun_Chen__Ahmed_E__Hassan__Understanding_the_Factors_for_Fast_Answers_in_Technica,2017/Shaowei_Wang__Tse_Hsun_Chen__Ahmed_E__Hassan__Understanding_the_Factors_for_Fast_Answers_in_Technica.pdf,"Technical questions and answers (Q&A) websites accumulate a significant amount of knowledge from users. Developers are especially active on these Q&A web- sites, since developers are constantly facing new development challenges that require help from other experts. Over the years, Q&A website designers have derived several incen- tive systems (e.g., gamification) to encourage users to answer questions that are posted by others. However, the current incentive systems primarily focus on the quantity and qual- ity of the answers instead of encouraging the rapid answering of questions. Improving the speed of getting an answer can significantly improve the user experience and increase user engagement on such Q&A websites. In this paper, we explore how one may improve the current incentive systems to motivate fast answering of questions. We use a logistic regres- sion model to analyze 46 factors along four dimensions (i.e., question, asker, answer, and answerer dimension) in order to understand the relationship between the studied factors and the needed time to get an accepted answer. We conduct our study on the four most popular (i.e., with the most questions) Q&A Stack Exchange websites: Stack Overflow, Mathemat- ics, Ask Ubuntu, and Superuser. We find that i) factors in the answerer dimension have the strongest effect on the needed time to get an accepted answer, after controlling for other fac- tors; ii) the current incentive system does not recognize non-frequent answerers who often Communicated by: Per Runeson � Shaowei Wang shaowei@cs.queensu.ca Tse-Hsun Chen peterc@encs.concordia.ca Ahmed E. Hassan ahmed@cs.queensu.ca 1 Software Analysis and Intelligence Lab (SAIL), School of Computing, Queen’s University, Kingston, ON, Canada 2 Department of Computer Science and Engineering, Concordia University, Montreal, QC, Canada Author's personal copy Empir Software Eng answer questions which frequent answerers are not able to answer. Such questions that are answered by non-frequent answerers are as important (i.e., have similar range of scores) as those that are answered by frequent answerers; iii) the current incentive system moti- vates frequent answerers well, but such frequent answerers tend to answer short questions. Our findings suggest that Q&A website designers should improve their incentive systems to motivate non-frequent answerers to be more active and to answer questions fast, in order to shorten the waiting time to receive an answer (especially for questions that require specific knowledge that frequent answerers might not possess). In addition, the question answering incentive system needs to factor in the value and difficulty of answering the questions (e.g., providing more rewards to harder questions or questions that remain unanswered for a long period of time)."
23,Shaowei_Wang__David_Lo__Bogdan_Vasilescu__Alexander_Serebrenik__EnTagRec____An_Enhanced_Tag_Recommen,2017/Shaowei_Wang__David_Lo__Bogdan_Vasilescu__Alexander_Serebrenik__EnTagRec____An_Enhanced_Tag_Recommen.pdf,"Software engineers share experiences with modern technologies using soft- ware information sites, such as Stack Overflow. These sites allow developers to label posted content, referred to as software objects, with short descriptions, known as tags. Tags help to improve the organization of questions and simplify the browsing of questions for users. However, tags assigned to objects tend to be noisy and some objects are not well tagged. For instance, 14.7% of the questions that were posted in 2015 on Stack Overflow needed tag re-editing after the initial assignment. To improve the quality of tags in software information sites, we propose EnTag- Rec++, which is an advanced version of our prior work EnTagRec. Different from EnTagRec, EnTagRec++ does not only integrate the historical tag assignments to software objects, but also leverages the information of users, and an initial set of tags that a user may provide for tag recommendation. We evaluate its performance on five software information sites, Stack Overflow, Ask Ubuntu, Ask Different, Super User, and Freecode. We observe that even without considering an initial set of tags that a user provides, it achieves Recall@5 scores of 0.821, 0.822, 0.891, 0.818 and 0.651, and Recall@10 scores of 0.873, 0.886, 0.956, 0.887 and 0.761, on Stack Overflow, Ask Ubuntu, Ask Different, Super User, and Freecode, respectively. In terms of Recall@5 and Recall@10, averaging across the 5 datasets, it improves upon TagCombine, which is the prior state-of-the-art approach, by 29.3% and 14.5% respectively. Moreover, the performance of our approach is further boosted if users provide some initial tags that our approach can leverage to infer additional tags: when an initial set of tags is given, Recall@5 is improved by 10%."
